model,dataset,lr1,out_dim,hid_dim,pred_hid,edge_drop_rate,feat_mask_rate,val_acc
BGRL,PubMed,0.0005,256,512,512,0.3,0.0,0.6686667005221049
BGRL,PubMed,0.0005,256,512,512,0.3,0.0,0.6473333438237509
BGRL,PubMed,0.0001,256,512,512,0.3,0.0,0.7413333654403687
BGRL,PubMed,0.0001,256,512,512,0.3,0.0,0.7200000286102295
BGRL,PubMed,0.0005,256,512,512,0.3,0.1,0.7600000301996866
BGRL,PubMed,0.0005,256,512,512,0.3,0.1,0.7660000324249268
BGRL,PubMed,0.0001,256,512,512,0.3,0.1,0.7700000206629435
BGRL,PubMed,0.0001,256,512,512,0.3,0.1,0.7766667008399963
BGRL,PubMed,0.0005,256,512,512,0.3,0.2,0.7873333692550659
BGRL,PubMed,0.0005,256,512,512,0.3,0.2,0.8033333818117777
BGRL,PubMed,0.0001,256,512,512,0.3,0.2,0.7913333773612976
BGRL,PubMed,0.0001,256,512,512,0.3,0.2,0.8013333876927694
BGRL,PubMed,0.0005,256,512,512,0.3,0.3,0.796666701634725
BGRL,PubMed,0.0005,256,512,512,0.3,0.3,0.8100000421206156
BGRL,PubMed,0.0001,256,512,512,0.3,0.3,0.8040000398953756
BGRL,PubMed,0.0001,256,512,512,0.3,0.3,0.8166667024294535
BGRL,PubMed,0.0005,256,512,512,0.3,0.4,0.7926666935284933
BGRL,PubMed,0.0005,256,512,512,0.3,0.4,0.8000000317891439
BGRL,PubMed,0.0001,256,512,512,0.3,0.4,0.8233333826065063
BGRL,PubMed,0.0001,256,512,512,0.3,0.4,0.8220000465710958
BGRL,PubMed,0.0005,256,512,512,0.3,0.5,0.80866672595342
BGRL,PubMed,0.0005,256,512,512,0.3,0.5,0.8060000538825989
BGRL,PubMed,0.0001,256,512,512,0.3,0.5,0.8286667068799337
BGRL,PubMed,0.0001,256,512,512,0.3,0.5,0.824666698773702
BGRL,PubMed,0.0005,256,512,512,0.4,0.0,0.6486666997273763
BGRL,PubMed,0.0005,256,512,512,0.4,0.0,0.6413333614667257
BGRL,PubMed,0.0001,256,512,512,0.4,0.0,0.7453333735466003
BGRL,PubMed,0.0001,256,512,512,0.4,0.0,0.746666689713796
BGRL,PubMed,0.0005,256,512,512,0.4,0.1,0.7706667184829712
BGRL,PubMed,0.0005,256,512,512,0.4,0.1,0.7586667140324911
BGRL,PubMed,0.0001,256,512,512,0.4,0.1,0.7680000265439352
BGRL,PubMed,0.0001,256,512,512,0.4,0.1,0.7826667229334513
BGRL,PubMed,0.0005,256,512,512,0.4,0.2,0.8006666898727417
BGRL,PubMed,0.0005,256,512,512,0.4,0.2,0.7853333751360575
BGRL,PubMed,0.0001,256,512,512,0.4,0.2,0.8073333700497946
BGRL,PubMed,0.0001,256,512,512,0.4,0.2,0.7940000494321188
BGRL,PubMed,0.0005,256,512,512,0.4,0.3,0.8113333781560262
BGRL,PubMed,0.0005,256,512,512,0.4,0.3,0.7860000332196554
BGRL,PubMed,0.0001,256,512,512,0.4,0.3,0.8240000406901041
BGRL,PubMed,0.0001,256,512,512,0.4,0.3,0.8160000443458557
BGRL,PubMed,0.0005,256,512,512,0.4,0.4,0.7906666994094849
BGRL,PubMed,0.0005,256,512,512,0.4,0.4,0.7973333795865377
BGRL,PubMed,0.0001,256,512,512,0.4,0.4,0.8166667024294535
BGRL,PubMed,0.0001,256,512,512,0.4,0.4,0.8286667068799337
BGRL,PubMed,0.0005,256,512,512,0.4,0.5,0.7920000553131104
BGRL,PubMed,0.0005,256,512,512,0.4,0.5,0.8053333759307861
BGRL,PubMed,0.0001,256,512,512,0.4,0.5,0.8386667172114054
BGRL,PubMed,0.0001,256,512,512,0.4,0.5,0.8286667068799337
BGRL,PubMed,0.0005,256,512,512,0.5,0.0,0.6546667019526163
BGRL,PubMed,0.0005,256,512,512,0.5,0.0,0.646666685740153
BGRL,PubMed,0.0001,256,512,512,0.5,0.0,0.7500000397364298
BGRL,PubMed,0.0001,256,512,512,0.5,0.0,0.7266667087872823
BGRL,PubMed,0.0005,256,512,512,0.5,0.1,0.7426667014757792
BGRL,PubMed,0.0005,256,512,512,0.5,0.1,0.7586666941642761
BGRL,PubMed,0.0001,256,512,512,0.5,0.1,0.7746666868527731
BGRL,PubMed,0.0001,256,512,512,0.5,0.1,0.7700000603993734
BGRL,PubMed,0.0005,256,512,512,0.5,0.2,0.7826667030652364
BGRL,PubMed,0.0005,256,512,512,0.5,0.2,0.7646666963895162
BGRL,PubMed,0.0001,256,512,512,0.5,0.2,0.7880000472068787
BGRL,PubMed,0.0001,256,512,512,0.5,0.2,0.8060000538825989
BGRL,PubMed,0.0005,256,512,512,0.5,0.3,0.8033333818117777
BGRL,PubMed,0.0005,256,512,512,0.5,0.3,0.796666701634725
BGRL,PubMed,0.0001,256,512,512,0.5,0.3,0.815333366394043
BGRL,PubMed,0.0001,256,512,512,0.5,0.3,0.8120000163714091
