model,dataset,lr1,out_dim,hid_dim,pred_hid,edge_drop_rate,feat_mask_rate,val_acc
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.0,0.4806666870911916
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.0,0.49266667167345685
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.0,0.4346666832764943
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.0,0.40333335598309833
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.1,0.5273333589235941
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.1,0.5146666963895162
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.1,0.574666698773702
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.1,0.5720000267028809
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.2,0.43666668732961017
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.2,0.4400000174840291
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.2,0.6386666893959045
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.2,0.5893333554267883
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.3,0.3913333515326182
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.3,0.4006666839122772
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.3,0.6500000357627869
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.3,0.6540000041325887
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.4,0.4073333541552226
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.4,0.39866668979326886
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.4,0.6846667130788168
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.4,0.6880000233650208
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.5,0.5053333640098572
BGRL,CiteSeer,0.0005,256,512,512,0.0,0.5,0.4466666877269745
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.5,0.7040000359217325
BGRL,CiteSeer,0.0001,256,512,512,0.0,0.5,0.706000030040741
BGRL,CiteSeer,0.0005,256,512,512,0.1,0.0,0.4180000225702922
BGRL,CiteSeer,0.0005,256,512,512,0.1,0.0,0.47066667675971985
BGRL,CiteSeer,0.0001,256,512,512,0.1,0.0,0.46933336059252423
BGRL,CiteSeer,0.0001,256,512,512,0.1,0.0,0.4253333508968353
BGRL,CiteSeer,0.0005,256,512,512,0.1,0.1,0.4806666970252991
BGRL,CiteSeer,0.0005,256,512,512,0.1,0.1,0.4560000201066335
BGRL,CiteSeer,0.0001,256,512,512,0.1,0.1,0.5520000259081522
BGRL,CiteSeer,0.0001,256,512,512,0.1,0.1,0.5840000112851461
