model,dataset,lr1,out_dim,hid_dim,pred_hid,edge_drop_rate,feat_mask_rate,val_acc
BGRL,Cora,0.0005,256,512,512,0.0,0.0,0.5786667068799337
BGRL,Cora,0.0005,256,512,512,0.0,0.0,0.546666701634725
BGRL,Cora,0.0001,256,512,512,0.0,0.0,0.5720000267028809
BGRL,Cora,0.0001,256,512,512,0.0,0.0,0.5453333457310995
BGRL,Cora,0.0005,256,512,512,0.0,0.1,0.606000026067098
BGRL,Cora,0.0005,256,512,512,0.0,0.1,0.5693333546320597
BGRL,Cora,0.0001,256,512,512,0.0,0.1,0.7086667021115621
BGRL,Cora,0.0001,256,512,512,0.0,0.1,0.6866667071978251
BGRL,Cora,0.0005,256,512,512,0.0,0.2,0.6273333628972372
BGRL,Cora,0.0005,256,512,512,0.0,0.2,0.6000000238418579
BGRL,Cora,0.0001,256,512,512,0.0,0.2,0.7380000154177347
BGRL,Cora,0.0001,256,512,512,0.0,0.2,0.7246667146682739
BGRL,Cora,0.0005,256,512,512,0.0,0.3,0.6760000387827555
BGRL,Cora,0.0005,256,512,512,0.0,0.3,0.6760000387827555
BGRL,Cora,0.0001,256,512,512,0.0,0.3,0.7413333654403687
BGRL,Cora,0.0001,256,512,512,0.0,0.3,0.7646666963895162
BGRL,Cora,0.0005,256,512,512,0.0,0.4,0.7126666903495789
BGRL,Cora,0.0005,256,512,512,0.0,0.4,0.7113333741823832
BGRL,Cora,0.0001,256,512,512,0.0,0.4,0.7920000354448954
BGRL,Cora,0.0001,256,512,512,0.0,0.4,0.7773333787918091
BGRL,Cora,0.0005,256,512,512,0.0,0.5,0.6826666990915934
BGRL,Cora,0.0005,256,512,512,0.0,0.5,0.7100000381469727
BGRL,Cora,0.0001,256,512,512,0.0,0.5,0.8080000281333923
BGRL,Cora,0.0001,256,512,512,0.0,0.5,0.8040000398953756
BGRL,Cora,0.0005,256,512,512,0.1,0.0,0.5740000208218893
BGRL,Cora,0.0005,256,512,512,0.1,0.0,0.590666671593984
BGRL,Cora,0.0001,256,512,512,0.1,0.0,0.59333336353302
BGRL,Cora,0.0001,256,512,512,0.1,0.0,0.6113333503405253
BGRL,Cora,0.0005,256,512,512,0.1,0.1,0.5473333597183228
BGRL,Cora,0.0005,256,512,512,0.1,0.1,0.5546666979789734
BGRL,Cora,0.0001,256,512,512,0.1,0.1,0.7133333484331766
BGRL,Cora,0.0001,256,512,512,0.1,0.1,0.6966666976610819
BGRL,Cora,0.0005,256,512,512,0.1,0.2,0.6126666863759359
BGRL,Cora,0.0005,256,512,512,0.1,0.2,0.6140000224113464
BGRL,Cora,0.0001,256,512,512,0.1,0.2,0.7473333676656088
BGRL,Cora,0.0001,256,512,512,0.1,0.2,0.7446666955947876
BGRL,Cora,0.0005,256,512,512,0.1,0.3,0.7106667160987854
BGRL,Cora,0.0005,256,512,512,0.1,0.3,0.6786666909853617
BGRL,Cora,0.0001,256,512,512,0.1,0.3,0.7600000301996866
