model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9228829145431519
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9185190796852112
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9213146567344666
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.924246609210968
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9209055304527283
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9202236533164978
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9192008972167969
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9190645217895508
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9229511022567749
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9200872778892517
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9196782112121582
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9170190095901489
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9173598885536194
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9171553254127502
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9204282164573669
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9222692251205444
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9188599586486816
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9223374128341675
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9199509620666504
BGRL,CS,1e-05,512,10000,0.3,0.3,0.2,0.4,0.9190645217895508
