model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6990000605583191
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7010000348091125
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6850000619888306
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7090000510215759
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6890000104904175
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6910000443458557
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7090000510215759
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6980000138282776
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7150000333786011
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7140000462532043
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.703000009059906
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6930000185966492
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7020000219345093
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6950000524520874
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7160000205039978
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.6960000395774841
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7050000429153442
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7070000171661377
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.7140000462532043
BGRL,CiteSeer,0.0001,512,10000,0.5,0.5,0.5,0.5,0.706000030040741
