model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.885748028755188
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8913834095001221
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8925650119781494
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8892019391059875
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8907471299171448
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8822941184043884
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.885748028755188
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8915651440620422
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8852027058601379
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8876568078994751
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8940192461013794
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8863843083381653
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8891110420227051
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8962007164955139
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8895655274391174
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8902926445007324
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8846573233604431
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8888384103775024
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8941101431846619
BGRL,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8939283490180969
