model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8220000267028809
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.800000011920929
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8110000491142273
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8270000219345093
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8350000381469727
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8260000348091125
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8010000586509705
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8230000138282776
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8260000348091125
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8140000104904175
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8160000443458557
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8210000395774841
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8280000686645508
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8300000429153442
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8230000138282776
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8220000267028809
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8390000462532043
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8060000538825989
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8220000267028809
BGRL,Cora,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8200000524520874
