model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9279412031173706
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9292483925819397
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9267973899841309
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9297385811805725
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9284313917160034
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9246732592582703
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9325163960456848
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.925000011920929
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9297385811805725
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9344771504402161
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9284313917160034
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9241830110549927
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.921895444393158
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9264706373214722
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9321895837783813
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9313725829124451
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.91813725233078
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9245098233222961
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9307189583778381
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9212418794631958
