model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9225490689277649
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9184640645980835
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9222222566604614
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.921895444393158
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9199346899986267
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9233660697937012
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.911928117275238
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9256536364555359
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.920751690864563
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9251634478569031
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9192810654640198
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9098039269447327
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9178104996681213
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9236928224563599
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9220588803291321
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9179738759994507
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9165033102035522
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9205882549285889
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9240196347236633
BGRL,Photo,0.0001,256,10000,0.4,0.1,0.1,0.2,0.9235294461250305
