model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.800000011920929
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.7910000085830688
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8180000185966492
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8060000538825989
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.7980000376701355
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.7920000553131104
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8200000524520874
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.7970000505447388
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.815000057220459
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.784000039100647
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8130000233650208
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8230000138282776
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8080000281333923
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.812000036239624
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8110000491142273
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8110000491142273
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.7990000247955322
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.8130000233650208
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.800000011920929
BGRL,PubMed,0.0001,512,10000,0.4,0.5,0.4,0.5,0.800000011920929
