model,sigma,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8831067140251398
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8866674916893243
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8868574784323573
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8851516185235232
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8855264395341277
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.885329437016199
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8854954962315303
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8848773078480735
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8857867625612351
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.886203390571475
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8863564488102089
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8862917324230075
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8859907128902582
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8862311435352479
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8860281342625618
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8862123483289033
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8864591612430179
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8865133351683616
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8865714858950753
BGRL,0.01,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8865631876148283
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8860818449258804
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8837116260305047
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8811586223741372
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8820468915626407
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8820055540233851
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8825569997678201
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8825729890848909
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8835079445336014
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8827697657346726
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8825264817804098
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8833005355244333
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8826928017561635
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8829925883939633
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8830857011973858
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8830398733397324
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8834134859703481
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8834121319879504
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8834713943857285
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8832709583428345
BGRL,0.1,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8834132564283907
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8687127277851104
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.868177505351603
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8702539394646883
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8706699844710529
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8720902860909701
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8726528069662551
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8723027779066137
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8726271832184866
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8726585570002595
