model,dataset,epochs,layers,lambd,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8370000123977661
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8350000381469727
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8410000205039978
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.843000054359436
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8340000510215759
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8530000448226929
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.843000054359436
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8440000414848328
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8470000624656677
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8520000576972961
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8380000591278076
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8340000510215759
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8380000591278076
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8420000672340393
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8360000252723694
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8420000672340393
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.831000030040741
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8440000414848328
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8390000462532043
CCA-SSG,Cora,50,2,0.0005,0.001,0.01,0.0001,512,0.4,0.1,0.8410000205039978
