model,dataset,epochs,layers,lambd,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8080000281333923
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8040000200271606
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8080000281333923
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.812000036239624
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8020000457763672
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8020000457763672
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.800000011920929
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.812000036239624
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8080000281333923
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8180000185966492
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.7950000166893005
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8040000200271606
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.7860000133514404
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8130000233650208
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8100000619888306
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8110000491142273
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8050000667572021
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8020000457763672
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8090000152587891
CCA-SSG,PubMed,50,2,0.0005,0.001,0.005,0.0001,512,0.3,0.2,0.8180000185966492
