model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.7380000412464142
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.7382000267505646
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.7378000319004059
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.7348000347614289
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.1,0.3,False,0.7428000330924988
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.1,0.3,False,0.7270000398159027
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.1,0.4,False,0.7262000262737274
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.1,0.4,False,0.7252000331878662
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.1,0.5,False,0.7328000426292419
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.1,0.5,False,0.7198000311851501
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.2,0.1,False,0.7418000340461731
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.2,0.1,False,0.7378000319004059
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.2,0.2,False,0.742600041627884
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.2,0.2,False,0.731600034236908
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.2,0.3,False,0.7376000344753265
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.2,0.3,False,0.7260000348091126
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.2,0.4,False,0.7278000354766846
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.2,0.4,False,0.7196000397205353
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.2,0.5,False,0.729800033569336
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.2,0.5,False,0.7150000274181366
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.3,0.1,False,0.7442000389099122
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.3,0.1,False,0.7306000411510467
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.3,0.2,False,0.7412000298500061
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.3,0.2,False,0.7214000403881073
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.3,0.3,False,0.7322000443935395
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.3,0.3,False,0.7216000318527221
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.3,0.4,False,0.7308000326156616
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.3,0.4,False,0.7240000307559967
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.3,0.5,False,0.7314000308513642
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.3,0.5,False,0.7216000258922577
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.4,0.1,False,0.7466000258922577
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.4,0.1,False,0.7332000374794007
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.4,0.2,False,0.7342000424861908
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.4,0.2,False,0.729200029373169
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.4,0.3,False,0.7312000393867493
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.4,0.3,False,0.7286000370979309
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.4,0.4,False,0.7382000267505646
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.4,0.4,False,0.7238000333309174
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.4,0.5,False,0.7276000320911408
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.4,0.5,False,0.720600026845932
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.5,0.1,False,0.7450000286102295
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.5,0.1,False,0.7348000347614289
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.5,0.2,False,0.735800039768219
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.5,0.2,False,0.734600031375885
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.5,0.3,False,0.7358000338077545
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.5,0.3,False,0.7198000311851501
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.5,0.4,False,0.7302000403404236
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.5,0.4,False,0.724200040102005
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.01,0.01,512,0.5,0.5,False,0.7278000295162201
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.0,0.005,0.01,512,0.5,0.5,False,0.7150000333786011
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.739400041103363
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.731600034236908
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.737600040435791
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.726000040769577
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.1,0.3,False,0.7346000432968139
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.1,0.3,False,0.7182000339031219
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.1,0.4,False,0.7244000375270844
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.1,0.4,False,0.7204000353813171
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.1,0.5,False,0.7222000300884247
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.1,0.5,False,0.721800035238266
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.2,0.1,False,0.7366000413894653
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.2,0.1,False,0.723600035905838
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.2,0.2,False,0.7244000315666199
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.2,0.2,False,0.7296000242233276
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.2,0.3,False,0.7298000454902649
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.2,0.3,False,0.7164000391960144
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.2,0.4,False,0.726600033044815
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.2,0.4,False,0.7148000359535217
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.2,0.5,False,0.726000040769577
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.2,0.5,False,0.7100000381469727
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.3,0.1,False,0.7330000281333924
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.3,0.1,False,0.7346000373363495
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.3,0.2,False,0.7392000377178192
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.3,0.2,False,0.7240000367164612
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.3,0.3,False,0.7288000285625458
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.3,0.3,False,0.713800024986267
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.3,0.4,False,0.7250000357627868
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.3,0.4,False,0.7178000390529633
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.3,0.5,False,0.7258000373840332
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.3,0.5,False,0.7160000383853913
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.4,0.1,False,0.7344000339508057
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.4,0.1,False,0.7266000390052796
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.4,0.2,False,0.7244000375270844
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.4,0.2,False,0.7174000263214111
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.4,0.3,False,0.726000040769577
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.4,0.3,False,0.7228000283241272
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.4,0.4,False,0.720000022649765
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.4,0.4,False,0.7184000313282013
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.4,0.5,False,0.7226000249385833
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.4,0.5,False,0.7266000390052796
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.5,0.1,False,0.7300000369548798
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.5,0.1,False,0.7204000413417816
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.5,0.2,False,0.7320000410079956
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.5,0.2,False,0.7200000405311584
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.5,0.3,False,0.7266000390052796
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.5,0.3,False,0.7190000355243683
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.5,0.4,False,0.7292000353336334
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.5,0.4,False,0.7214000403881073
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.01,0.01,512,0.5,0.5,False,0.7218000411987304
CCA-SSG,CiteSeer,20,1,0.0005,0.001,0.0,0.005,0.01,512,0.5,0.5,False,0.7128000378608703
