model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.7838000416755676
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.7860000431537628
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.787000036239624
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.1,False,0.8056000411510468
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.1,False,0.8118000268936157
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.1,False,0.8030000329017639
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.7732000291347504
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.7812000334262847
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.781600046157837
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.1,False,0.8070000410079956
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.1,False,0.8094000458717346
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.1,False,0.8096000492572785
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.7768000423908233
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.7902000427246094
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.7868000328540802
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.2,False,0.80600004196167
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.2,False,0.8106000423431396
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.2,False,0.8110000371932984
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.7838000357151031
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.7880000412464142
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.7900000512599945
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.2,False,0.806000030040741
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.2,False,0.8164000391960144
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.2,False,0.8140000462532043
