model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.8174000382423401
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.7986000418663025
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.1,False,0.8064000368118286
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.1,False,0.8356000423431397
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.1,False,0.829000037908554
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.1,False,0.8238000392913818
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.817600029706955
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.8012000322341919
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.1,False,0.8062000334262848
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.1,False,0.837000048160553
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.1,False,0.8298000454902649
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.1,False,0.8234000384807587
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.8268000304698944
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.8192000389099121
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.2,False,0.8168000280857086
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.2,False,0.8366000473499298
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.2,False,0.8338000416755676
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.2,False,0.8360000491142273
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.8190000355243683
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.8158000349998474
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.2,False,0.8176000356674195
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.2,False,0.837000036239624
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.2,False,0.8358000457286835
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.2,False,0.8312000393867492
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.3,False,0.7934000432491303
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.3,False,0.8232000470161438
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.3,False,0.8224000453948974
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.3,False,0.8338000416755676
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.3,False,0.8364000439643859
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.3,False,0.835800039768219
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.3,False,0.8016000509262085
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.3,False,0.8238000392913818
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.3,False,0.8198000490665436
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.3,False,0.827200049161911
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.3,False,0.8386000394821167
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.3,False,0.8368000447750091
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.4,False,0.7362000465393066
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.4,False,0.8306000292301178
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.4,False,0.8298000395298004
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.4,False,0.8220000505447388
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.4,False,0.8464000344276428
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.4,False,0.8348000407218933
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.4,False,0.742600041627884
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.4,False,0.8272000432014466
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.4,False,0.8246000409126282
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.4,False,0.8164000272750854
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.4,False,0.8428000450134278
CCA-SSG,PubMed,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.4,False,0.8406000435352325
CCA-SSG,PubMed,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.5,False,0.7080000340938568
CCA-SSG,PubMed,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.5,False,0.8262000501155853
