model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0001,0.1,0.1,0.9407165050506592
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0001,0.1,0.1,0.9352609713872274
GRACE,CS,linear,1000,256,0.001,0.01,0.0001,0.1,0.1,0.928168773651123
GRACE,CS,standard,1000,256,0.001,0.01,0.0001,0.1,0.1,0.924168050289154
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0001,0.1,0.1,0.9325332045555115
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0001,0.1,0.1,0.932169516881307
GRACE,CS,linear,1000,256,0.001,0.01,0.0001,0.1,0.1,0.9354428251584371
GRACE,CS,standard,1000,256,0.001,0.01,0.0001,0.1,0.1,0.9303509791692098
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9359883666038513
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9347154299418131
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9290780226389567
GRACE,CS,standard,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9332605997721354
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9352609713872274
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9319876631100973
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9256228605906168
GRACE,CS,standard,1000,256,0.0005,0.01,0.0001,0.1,0.1,0.9345335563023885
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0001,0.1,0.2,0.9376250505447388
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0001,0.1,0.2,0.9378068844477335
GRACE,CS,linear,1000,256,0.001,0.01,0.0001,0.1,0.2,0.934897263844808
GRACE,CS,standard,1000,256,0.001,0.01,0.0001,0.1,0.2,0.9343517223993937
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0001,0.1,0.2,0.9410802324612936
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0001,0.1,0.2,0.934169868628184
GRACE,CS,linear,1000,256,0.001,0.01,0.0001,0.1,0.2,0.937443196773529
GRACE,CS,standard,1000,256,0.001,0.01,0.0001,0.1,0.2,0.9292598764101664
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9383524457613627
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9352609912554423
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9354428251584371
GRACE,CS,standard,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9365339279174805
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9365339080492655
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9356246789296468
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9367157816886902
GRACE,CS,standard,1000,256,0.0005,0.01,0.0001,0.1,0.2,0.9350791176160177
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0001,0.1,0.3,0.9370794892311096
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0001,0.1,0.3,0.936170240243276
GRACE,CS,linear,1000,256,0.001,0.01,0.0001,0.1,0.3,0.9298054377237955
GRACE,CS,standard,1000,256,0.001,0.01,0.0001,0.1,0.3,0.9379887382189432
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0001,0.1,0.3,0.9403527975082397
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0001,0.1,0.3,0.9358065128326416
