model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CiteSeer,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.1,0.6602000296115875
GRACE,CiteSeer,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.1,0.6620000243186951
GRACE,CiteSeer,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.1,0.6578000307083129
GRACE,CiteSeer,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.1,0.6306000292301178
GRACE,CiteSeer,linear,100,256,0.001,0.01,0.0001,0.1,0.1,0.6510000228881836
GRACE,CiteSeer,linear,200,256,0.001,0.01,0.0001,0.1,0.1,0.6232000291347504
GRACE,CiteSeer,standard,100,256,0.001,0.01,0.0001,0.1,0.1,0.6588000416755676
GRACE,CiteSeer,standard,200,256,0.001,0.01,0.0001,0.1,0.1,0.6180000364780426
GRACE,CiteSeer,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.1,0.6688000380992889
GRACE,CiteSeer,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.1,0.6640000462532043
GRACE,CiteSeer,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.1,0.6570000350475311
GRACE,CiteSeer,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.1,0.6288000345230103
GRACE,CiteSeer,linear,100,256,0.001,0.01,0.0001,0.1,0.1,0.6546000301837921
GRACE,CiteSeer,linear,200,256,0.001,0.01,0.0001,0.1,0.1,0.6262000262737274
GRACE,CiteSeer,standard,100,256,0.001,0.01,0.0001,0.1,0.1,0.6574000298976899
GRACE,CiteSeer,standard,200,256,0.001,0.01,0.0001,0.1,0.1,0.6216000258922577
GRACE,CiteSeer,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6630000233650207
GRACE,CiteSeer,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.1,0.6538000166416168
GRACE,CiteSeer,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6740000367164611
GRACE,CiteSeer,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.6398000299930573
GRACE,CiteSeer,linear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6804000258445739
GRACE,CiteSeer,linear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.6420000314712524
GRACE,CiteSeer,standard,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6894000232219696
GRACE,CiteSeer,standard,200,256,0.0005,0.01,0.0001,0.1,0.1,0.6512000322341919
GRACE,CiteSeer,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6704000413417817
GRACE,CiteSeer,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.1,0.6572000324726105
GRACE,CiteSeer,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6774000346660614
GRACE,CiteSeer,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.6380000352859497
GRACE,CiteSeer,linear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6740000367164611
GRACE,CiteSeer,linear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.643200033903122
GRACE,CiteSeer,standard,100,256,0.0005,0.01,0.0001,0.1,0.1,0.6920000374317169
GRACE,CiteSeer,standard,200,256,0.0005,0.01,0.0001,0.1,0.1,0.6582000315189361
GRACE,CiteSeer,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.2,0.6820000290870667
GRACE,CiteSeer,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.2,0.6740000307559967
GRACE,CiteSeer,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.2,0.6708000302314758
GRACE,CiteSeer,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.2,0.6514000236988068
GRACE,CiteSeer,linear,100,256,0.001,0.01,0.0001,0.1,0.2,0.6814000308513641
