model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8717575470606486
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8707878589630127
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8736969431241354
GRACE,Computers,standard,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8795151313145956
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8717575271924337
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8819393714269003
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8761211832364401
GRACE,Computers,standard,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8860605756441752
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8637575308481852
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8671514789263407
GRACE,Computers,linear,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8686060309410095
GRACE,Computers,standard,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8853333195050558
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8766060272852579
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8703029950459799
GRACE,Computers,linear,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8741817871729533
GRACE,Computers,standard,1500,128,0.001,0.01,0.0001,0.1,0.1,0.8795151114463806
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8518787622451782
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8676363229751587
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8654545346895853
GRACE,Computers,standard,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8799999753634135
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.2,0.841939389705658
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8620605866114298
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.2,0.865212102731069
GRACE,Computers,standard,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8778181672096252
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8618181745211283
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8678787549336752
GRACE,Computers,linear,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8652121225992838
GRACE,Computers,standard,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8802424073219299
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8644848068555196
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8593939145406088
GRACE,Computers,linear,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8639999826749166
GRACE,Computers,standard,1500,128,0.001,0.01,0.0001,0.1,0.2,0.8775757352511088
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8479999701182047
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8509090741475424
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.3,0.846060593922933
GRACE,Computers,standard,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8785454432169596
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8518787622451782
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8511514862378439
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8533333341280619
GRACE,Computers,standard,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8695757389068604
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8717575470606486
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8666666348775228
GRACE,Computers,linear,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8722424109776815
GRACE,Computers,standard,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8749090631802877
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8671514987945557
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8785454233487447
GRACE,Computers,linear,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8673939108848572
GRACE,Computers,standard,1500,128,0.001,0.01,0.0001,0.1,0.3,0.8884848356246948
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.4,0.8366060455640157
