model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.1,0.7778000354766845
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.1,0.7836000382900238
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.1,0.7870000422000885
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.1,0.7858000457286834
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.1,0.794400030374527
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.1,0.7974000394344329
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.1,0.7942000329494476
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.1,0.8058000326156616
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.1,0.7932000279426574
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.1,0.7886000335216522
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.1,0.76640003323555
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.1,0.7068000257015228
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.1,0.7774000346660614
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.1,0.7916000425815582
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.1,0.7892000377178192
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.1,0.7918000280857086
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.1,0.788800036907196
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.1,0.7904000341892242
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.1,0.7864000499248505
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.1,0.8006000459194184
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.1,0.8012000381946563
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.1,0.786400032043457
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.1,0.7600000321865081
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.1,0.7170000314712525
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.1,0.7770000398159027
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.1,0.787000036239624
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7924000322818756
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.7844000339508057
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.795600026845932
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7898000359535218
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.788200032711029
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.7920000374317169
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.1,0.795000034570694
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.1,0.7934000372886658
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.1,0.7866000294685364
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7538000404834747
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.1,0.7790000379085541
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.1,0.7920000374317169
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7898000359535218
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.7830000340938568
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.8030000269412995
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7988000392913819
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.1,0.786400043964386
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.1,0.7938000321388244
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7936000347137451
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.1,0.7958000302314758
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.1,0.7852000415325164
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7492000341415406
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.2,0.7806000351905823
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.2,0.7888000428676605
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.2,0.8012000322341919
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.2,0.7880000472068787
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.2,0.807200038433075
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.2,0.8052000403404236
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.2,0.7944000363349915
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.2,0.7962000370025635
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.2,0.8102000474929809
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.2,0.8046000301837921
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.2,0.788800036907196
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.2,0.7422000229358673
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.2,0.769400030374527
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.2,0.7812000274658203
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.2,0.7938000440597535
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.2,0.7984000384807587
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.2,0.7990000426769257
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.2,0.8036000311374665
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.2,0.7922000348567962
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.2,0.8044000446796418
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.2,0.8036000430583954
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.2,0.8076000392436982
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.2,0.7862000346183777
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.2,0.7502000331878662
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7794000327587127
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7880000412464142
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.2,0.8036000490188598
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.784600031375885
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.8000000417232513
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7976000428199768
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7776000261306762
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7970000326633453
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.804600042104721
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.2,0.8000000298023224
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.2,0.8032000482082366
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7850000381469726
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7776000261306762
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.2,0.790000033378601
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7976000368595123
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7850000441074372
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7976000428199768
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.8112000346183776
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7812000453472138
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.8026000320911407
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.8100000441074371
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7994000434875488
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7978000462055206
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7918000280857086
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.3,0.7686000406742096
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.3,0.784600031375885
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.3,0.7982000410556793
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.3,0.7858000338077545
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.3,0.8008000373840332
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.3,0.8080000400543212
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.3,0.7848000347614288
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.3,0.8012000441551208
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.3,0.8094000399112702
