model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.1,0.1,0.9237472812334696
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.1,0.1,0.7355119983355204
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.1,0.1,0.9193899830182394
GRACE,Photo,standard,2000,256,0.1,0.01,0.0001,0.1,0.1,0.9315904180208842
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.1,0.1,0.9189542531967163
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.1,0.1,0.8901960849761963
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.1,0.1,0.9045751690864563
GRACE,Photo,standard,2000,256,0.1,0.01,0.0001,0.1,0.1,0.9119825760523478
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.1,0.1,0.9259259303410848
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.1,0.1,0.9281045794487
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.1,0.1,0.914596954981486
GRACE,Photo,standard,2000,256,0.01,0.01,0.0001,0.1,0.1,0.9198257128397623
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.1,0.1,0.9189542531967163
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.1,0.1,0.9241830110549927
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.1,0.1,0.9228758215904236
GRACE,Photo,standard,2000,256,0.01,0.01,0.0001,0.1,0.1,0.9333333373069763
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9246187408765157
GRACE,Photo,nonlinear,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9276688496271769
GRACE,Photo,linear,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9416122039159139
GRACE,Photo,standard,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9368191758791605
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9241830110549927
GRACE,Photo,nonlinear,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9311546881993612
GRACE,Photo,linear,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9276688496271769
GRACE,Photo,standard,2000,256,0.001,0.01,0.0001,0.1,0.1,0.9302832285563151
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.1,0.2,0.9302832285563151
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.1,0.2,0.8644880255063375
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.1,0.2,0.9254902005195618
