model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8213333884874979
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8160000443458557
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8133333722750345
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.1,0.7360000212987264
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8313333988189697
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8133333722750345
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8066666920979818
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.1,0.7153333624204
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.2,0.8286667068799337
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.2,0.8286667068799337
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.2,0.8300000230471293
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.2,0.76800004641215
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.2,0.8273333708445231
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.2,0.830666700998942
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.2,0.8246667186419169
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.2,0.752666711807251
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.3,0.8346667091051737
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.3,0.8233333826065063
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.3,0.8293333848317465
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.3,0.780666708946228
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.3,0.8426667054494222
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.3,0.8260000348091125
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.3,0.8340000510215759
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.3,0.7813333670298258
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8406667113304138
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8333333929379781
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8300000429153442
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8100000421206156
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8333333730697632
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8313333789507548
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8333333730697632
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8053333759307861
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8313333988189697
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8480000297228495
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8426667253176371
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8213333686192831
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8040000398953756
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8413333892822266
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8506667216618856
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8280000487963358
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8233333627382914
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8073333700497946
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8186666965484619
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.1,0.7453333735466003
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8366667230923971
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8273333708445231
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8146666884422302
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.1,0.752666691939036
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8333333730697632
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8333333929379781
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8313333789507548
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.2,0.7826667229334513
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8460000356038412
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8346667091051737
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8400000333786011
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.2,0.7780000368754069
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8466667135556539
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.3,0.828000028928121
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8326666951179504
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.3,0.802666703859965
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8486667076746622
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8300000429153442
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8286667267481486
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8046666979789734
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8380000591278076
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8373333811759949
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8353333671887716
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8213333884874979
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8366667032241821
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8346666892369589
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.4,0.830666720867157
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8133333722750345
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8253333767255148
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8393333752950033
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8413333892822266
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8320000370343527
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8313333590825399
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8426667054494222
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8386666973431905
