model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.0,True,0.8343335390090942
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.0,False,0.9185306429862976
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.0,True,0.8279687364896139
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.0,False,0.9134388168652853
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.0,0.0,True,0.836515744527181
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.0,0.0,False,0.9119840065638224
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.1,True,0.9383524457613627
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.1,False,0.9238043427467346
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.1,True,0.9258047143618265
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.1,False,0.9312602678934733
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.0,0.1,True,0.9339880148569742
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.0,0.1,False,0.9263502359390259
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.2,True,0.9323513507843018
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.2,False,0.9230769276618958
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.2,True,0.9408983786900839
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.2,False,0.9207128683725992
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.0,0.2,True,0.9354428251584371
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.0,0.2,False,0.9199854532877604
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.3,True,0.9379887382189432
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.0,0.3,False,0.92689581712087
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.3,True,0.9390798409779867
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.0,0.3,False,0.9272595246632894
