model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.0,0.0,0.6353333592414856
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.0,0.0,0.5566666722297668
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.0,0.0,0.546666701634725
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.0,0.1,0.6820000410079956
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.0,0.1,0.6180000305175781
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.0,0.1,0.6313333710034689
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.0,0.2,0.6993333697319031
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.0,0.2,0.6760000189145406
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.0,0.2,0.6773333549499512
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.0,0.3,0.6980000336964926
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.0,0.3,0.6980000138282776
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.0,0.3,0.7073333660761515
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.0,0.4,0.7146666844685873
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.0,0.4,0.7113333741823832
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.0,0.4,0.7146667043368021
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.0,0.5,0.702666699886322
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.0,0.5,0.7113333543141683
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.0,0.5,0.7153333624204
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.1,0.0,0.6593333681424459
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.1,0.0,0.59333336353302
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.1,0.0,0.6000000238418579
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.1,0.1,0.6940000255902609
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.1,0.1,0.6546667019526163
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.1,0.1,0.6386667092641195
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.1,0.2,0.6853333711624146
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.1,0.2,0.6866667071978251
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.1,0.2,0.6966666976610819
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.1,0.3,0.7053333520889282
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.1,0.3,0.6986666917800903
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.1,0.3,0.706000030040741
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.1,0.4,0.7013333638509115
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.1,0.4,0.700000007947286
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.1,0.4,0.7146666844685873
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.1,0.5,0.7033333579699198
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.1,0.5,0.7160000403722128
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.1,0.5,0.7300000389417013
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.2,0.0,0.6680000225702921
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.2,0.0,0.6313333710034689
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.2,0.0,0.6206667025883993
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.2,0.1,0.6926666895548502
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.2,0.1,0.6786666909853617
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.2,0.1,0.6760000387827555
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.2,0.2,0.7026666800181071
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.2,0.2,0.684000035127004
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.2,0.2,0.6806667049725851
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.2,0.3,0.7113333543141683
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.2,0.3,0.7113333741823832
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.2,0.3,0.702666699886322
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.2,0.4,0.7046666940053304
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.2,0.4,0.7240000367164612
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.2,0.4,0.718666692574819
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.2,0.5,0.7093333601951599
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.2,0.5,0.7200000286102295
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.2,0.5,0.7113333543141683
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.0,0.643333355585734
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.0,0.6473333636919657
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.0,0.6380000313123068
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.1,0.6886667013168335
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.1,0.6673333644866943
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.1,0.6666667064030966
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.2,0.6940000057220459
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.2,0.6993333498636881
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.2,0.7000000278155009
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.3,0.7000000278155009
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.3,0.6993333498636881
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.3,0.7126666903495789
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.4,0.7140000263849894
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.4,0.7206667065620422
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.4,0.7120000322659811
