model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.0,0.0,0.8455757300059
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.0,0.0,0.8336969614028931
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.0,0.0,0.8623030185699463
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.0,0.1,0.857454518477122
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.0,0.1,0.884363611539205
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.0,0.1,0.8523636062939962
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.0,0.2,0.8463030060132345
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.0,0.2,0.8552727103233337
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.0,0.2,0.8623029987017313
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.0,0.3,0.8378181656201681
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.0,0.3,0.8433939019838969
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.0,0.3,0.8494545221328735
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.0,0.4,0.8094545205434164
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.0,0.4,0.8235151370366415
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.0,0.4,0.8341818054517111
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.0,0.5,0.7427878578503927
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.0,0.5,0.7861818075180054
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.0,0.5,0.7980605761210123
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.0,0.872484823067983
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.0,0.8744242389996847
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.0,0.8649696707725525
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.1,0.871515134970347
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8676363428433737
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.1,0.8528484503428141
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8564848303794861
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8676363428433737
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.2,0.8698181708653768
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8458181619644165
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8509090542793274
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.3,0.8407272497812907
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.4,0.8237575689951578
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.4,0.8193939129511515
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.4,0.8349090615908304
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.1,0.5,0.789090891679128
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.1,0.5,0.804121176401774
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.1,0.5,0.8252120812733968
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.2,0.0,0.8639999826749166
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.2,0.0,0.8841211994489034
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.2,0.0,0.8666666348775228
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.2,0.1,0.8770908713340759
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.2,0.1,0.8819393515586853
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.2,0.1,0.8807272513707479
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.2,0.2,0.8623030185699463
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.2,0.2,0.8741818070411682
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.2,0.2,0.8562423984209696
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.2,0.3,0.8623029987017313
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.2,0.3,0.8613333106040955
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.2,0.3,0.8504242102305094
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.2,0.4,0.8319999774297079
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0001,0.2,0.4,0.8370908896128336
GRACE,Computers,linear,1500,128,0.01,0.01,0.0001,0.2,0.4,0.8523636062939962
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0001,0.2,0.5,0.8249696890513102
