model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.0,0.0,0.6686667005221049
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.0,0.0,0.6566666960716248
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.0,0.0,0.658666710058848
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.0,0.1,0.7766667207082113
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.0,0.1,0.7886667052904764
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.0,0.1,0.7786666949590048
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.0,0.2,0.7826667030652364
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.0,0.2,0.8133333722750345
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.0,0.2,0.7846666971842448
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.0,0.3,0.7906667192776998
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.0,0.3,0.8073333700497946
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.0,0.3,0.7980000575383505
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.0,0.4,0.7793333729108175
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.0,0.4,0.8133333722750345
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.0,0.4,0.8093333641688029
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.0,0.5,0.7513333757718405
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.0,0.5,0.7860000332196554
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.0,0.5,0.7880000273386637
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.0,0.7666666905085245
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.0,0.7386666933695475
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.0,0.750000019868215
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.1,0.7833333611488342
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.1,0.802666703859965
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.1,0.8006667097409567
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7866667111714681
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.8046667178471884
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.800000011920929
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.3,0.7833333611488342
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8093333840370178
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.3,0.802666703859965
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.4,0.7886667251586914
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.4,0.8006667296091715
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.4,0.8093333840370178
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.5,0.7680000265439352
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.5,0.7953333655993143
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.5,0.7940000494321188
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.2,0.0,0.7826666831970215
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.2,0.0,0.7600000500679016
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.2,0.0,0.7706667184829712
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.2,0.1,0.7953333655993143
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.2,0.1,0.8026667237281799
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.2,0.1,0.8006667097409567
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.2,0.2,0.812000036239624
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.2,0.2,0.8073333899180094
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.2,0.2,0.8173333803812662
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.2,0.3,0.8000000317891439
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.2,0.3,0.8253333767255148
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.2,0.3,0.8166666825612386
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.2,0.4,0.7860000332196554
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.2,0.4,0.8060000538825989
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.2,0.4,0.7993333538373312
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.2,0.5,0.7900000413258871
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.2,0.5,0.793333371480306
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.2,0.5,0.7893333633740743
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.3,0.0,0.7660000324249268
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.3,0.0,0.7793333729108175
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.3,0.0,0.7766667008399963
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.3,0.1,0.8053333759307861
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.3,0.1,0.799333373705546
