model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.0,0.0,0.6932462056477865
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.0,0.0,0.8610021869341532
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.0,0.0,0.8135076363881429
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.0,0.0,0.9071895480155945
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.0,0.0,0.9093681971232096
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.0,0.0,0.9163398742675781
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.0,0.1,0.9115468462308248
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.0,0.1,0.8265795310338339
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.0,0.1,0.8705882430076599
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.0,0.1,0.9080610076586405
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.0,0.1,0.9246187408765157
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.0,0.1,0.9193899830182394
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.0,0.2,0.5586056709289551
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.0,0.2,0.9063180883725485
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.0,0.2,0.8771241903305054
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.0,0.2,0.9224400917689005
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.0,0.2,0.9307189583778381
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.0,0.2,0.9220043619473776
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.0,0.3,0.742919405301412
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.0,0.3,0.872766892115275
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.0,0.3,0.8749455412228903
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.0,0.3,0.9224400917689005
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.0,0.3,0.9193899830182394
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.0,0.3,0.9272331198056539
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.0,0.4,0.8958605726559957
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.0,0.4,0.8962963024775187
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.0,0.4,0.8736383517583212
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.0,0.4,0.9180827935536703
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.0,0.4,0.929411768913269
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.0,0.4,0.9228758215904236
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.0,0.5,0.7795207103093466
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.0,0.5,0.899782141049703
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.0,0.5,0.871023972829183
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.0,0.5,0.915032684803009
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.0,0.5,0.9115468462308248
