model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.0,0.0,0.7360000212987264
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.0,0.0,0.6760000387827555
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.0,0.0,0.7240000168482462
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.0,0.1,0.8153333862622579
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.0,0.1,0.8013333678245544
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.0,0.1,0.8006667097409567
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.0,0.2,0.8286667267481486
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.0,0.2,0.8253333965937296
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.0,0.2,0.8206667304039001
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.0,0.3,0.8406667311986288
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.0,0.3,0.8266667127609253
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.0,0.3,0.8226667046546936
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.0,0.4,0.8340000510215759
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.0,0.4,0.8326666951179504
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.0,0.4,0.8386666973431905
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.0,0.5,0.8193333546320597
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.0,0.5,0.8326667149861654
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.0,0.5,0.8373333811759949
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.0,0.7813333868980408
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.0,0.7513333757718405
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.0,0.7613333662350973
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8353333870569865
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8180000384648641
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.1,0.8020000457763672
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.2,0.8266667127609253
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.2,0.824666698773702
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.2,0.824666698773702
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.3,0.8386667172114054
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.3,0.830666700998942
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.3,0.843333383401235
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8406667113304138
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.4,0.8420000274976095
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.4,0.834000031153361
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8246667186419169
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.1,0.5,0.8413333694140116
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.1,0.5,0.840000053246816
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.0,0.7813333670298258
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.0,0.7793333530426025
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.0,0.7626667022705078
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8286667068799337
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8140000502268473
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.1,0.8173333605130514
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.2,0.834000031153361
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8313333789507548
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.2,0.8166667222976685
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8473333716392517
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8360000451405843
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.3,0.8286667068799337
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.4,0.843333383401235
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.4,0.8366667230923971
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.4,0.830666720867157
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.2,0.5,0.828000028928121
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8413333694140116
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.2,0.5,0.8440000414848328
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.3,0.0,0.7813333670298258
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.3,0.0,0.7873333692550659
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.3,0.0,0.7646666963895162
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.3,0.1,0.8300000627835592
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.3,0.1,0.8220000267028809
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.3,0.1,0.8226667046546936
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.3,0.2,0.8446667194366455
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.3,0.2,0.8333333929379781
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.3,0.2,0.8286667267481486
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.3,0.3,0.8340000510215759
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.3,0.3,0.8393333752950033
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.3,0.3,0.8373333811759949
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.3,0.4,0.8480000297228495
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.3,0.4,0.8346666892369589
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.3,0.4,0.8353333671887716
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.3,0.5,0.8326667149861654
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.3,0.5,0.8440000414848328
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.3,0.5,0.8333333929379781
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.4,0.0,0.7986667156219482
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.4,0.0,0.7946666876475016
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.4,0.0,0.780666708946228
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.4,0.1,0.8253333568572998
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.4,0.1,0.8293333848317465
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.4,0.1,0.815333366394043
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.4,0.2,0.8260000348091125
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.4,0.2,0.828000028928121
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.4,0.2,0.8313333789507548
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.4,0.3,0.8493333657582601
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.4,0.3,0.8400000333786011
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.4,0.3,0.8346667091051737
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.4,0.4,0.84333336353302
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.4,0.4,0.8313333789507548
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.4,0.4,0.8366667032241821
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.4,0.5,0.8333333730697632
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.4,0.5,0.8460000157356262
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0001,0.4,0.5,0.8460000356038412
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0001,0.5,0.0,0.799333373705546
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0001,0.5,0.0,0.7853333751360575
