model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.0,0.8239679932594299
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.0,0.8010547558466593
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.0,0.8403346141179403
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.0,0.8296054204305013
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.1,0.9376250306765238
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.1,0.9354428251584371
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.1,0.9292598962783813
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.1,0.9359883864720663
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.2,0.9370794892311096
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.2,0.938170591990153
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.2,0.9398072560628256
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.2,0.94017094373703
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.3,0.9323513507843018
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.3,0.9339880148569742
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.3,0.9407165050506592
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.3,0.9370794892311096
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.4,0.9350791374842325
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.4,0.9298054377237955
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.4,0.9347154100735983
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.4,0.9378068844477335
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.5,0.9392616947491964
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.5,0.9350791176160177
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.5,0.9372613430023193
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.5,0.9378068844477335
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.0,0.8241498668988546
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.0,0.7977814277013143
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.0,0.8397890528043112
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.1,0.0,0.8219676415125529
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.1,0.9292598764101664
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.1,0.9267139633496603
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.1,0.9252591729164124
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.1,0.1,0.9296235839525858
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.2,0.9307146867116293
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.2,0.936170220375061
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.2,0.934169868628184
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.1,0.2,0.9348972837130228
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.3,0.9368976354598999
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.3,0.9387161533037821
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.3,0.9350791176160177
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.1,0.3,0.9387161533037821
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.4,0.938170591990153
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.4,0.9365339477856954
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.4,0.9370794693628947
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.1,0.4,0.9396254221598307
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.5,0.938170591990153
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.5,0.9376250505447388
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.5,0.9412620663642883
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.1,0.5,0.9392616947491964
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.2,0.0,0.8297872543334961
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.2,0.0,0.7952355146408081
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.2,0.0,0.8370613058408102
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.2,0.0,0.8223313490549723
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.2,0.1,0.928896168867747
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.2,0.1,0.928168773651123
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.2,0.1,0.9325332045555115
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.2,0.1,0.9354428251584371
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.2,0.2,0.9390798608462015
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.2,0.2,0.9356246789296468
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.2,0.2,0.9367157816886902
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.2,0.2,0.934897263844808
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.2,0.3,0.9388980070749918
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.2,0.3,0.9365339279174805
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.2,0.3,0.9398072560628256
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.2,0.3,0.938170591990153
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.2,0.4,0.9399891098340353
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.2,0.4,0.9418076276779175
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.2,0.4,0.9330787658691406
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.2,0.4,0.9347154299418131
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.2,0.5,0.9436261455217997
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.2,0.5,0.9383524258931478
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.2,0.5,0.934897263844808
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.2,0.5,0.9376250505447388
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.3,0.0,0.8296054005622864
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.3,0.0,0.7859610915184021
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.3,0.0,0.8468812704086304
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.3,0.0,0.8323331673940023
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.3,0.1,0.9310783942540487
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.3,0.1,0.9279869397481283
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.3,0.1,0.930896540482839
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.3,0.1,0.9354428251584371
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.3,0.2,0.9408983588218689
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.3,0.2,0.9374431769053141
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.3,0.2,0.9352609713872274
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.3,0.2,0.936170220375061
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.3,0.3,0.9358065525690714
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.3,0.3,0.9399891098340353
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.3,0.3,0.9332606196403503
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.3,0.3,0.9354428251584371
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.3,0.4,0.9419894615809122
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.3,0.4,0.9343517223993937
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.3,0.4,0.9338061610857645
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.3,0.4,0.9385343194007874
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.3,0.5,0.9323513507843018
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.3,0.5,0.9390798409779867
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.3,0.5,0.934897263844808
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.3,0.5,0.9427168567975363
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.4,0.0,0.8412438829739889
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.4,0.0,0.7966903249422709
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.4,0.0,0.8457901477813721
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.4,0.0,0.8328787088394165
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.4,0.1,0.9359883864720663
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.4,0.1,0.9270776907602946
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.4,0.1,0.9334424535433451
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.4,0.1,0.9328969120979309
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.4,0.2,0.9363520741462708
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.4,0.2,0.9343517223993937
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.4,0.2,0.9350791176160177
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.4,0.2,0.9303509990374247
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.4,0.3,0.938897987206777
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.4,0.3,0.9347154299418131
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.4,0.3,0.9392617146174113
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.4,0.3,0.9374431769053141
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.4,0.4,0.9405346512794495
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.4,0.4,0.9292598764101664
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.4,0.4,0.9368976354598999
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.4,0.4,0.9427168567975363
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.4,0.5,0.9423531691233317
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.4,0.5,0.9354428251584371
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.4,0.5,0.9347154100735983
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.4,0.5,0.9396254022916158
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.5,0.0,0.8299691081047058
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.5,0.0,0.8025095661481222
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.5,0.0,0.8361520369847616
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.5,0.0,0.8416075706481934
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.5,0.1,0.9285324811935425
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.5,0.1,0.9252591530481974
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.5,0.1,0.932169497013092
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.5,0.1,0.9276232322057089
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.5,0.2,0.9414439002672831
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.5,0.2,0.9323513507843018
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.5,0.2,0.9392616947491964
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.5,0.2,0.9330787460009257
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.5,0.3,0.9367157816886902
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.5,0.3,0.9370794693628947
GRACE,CS,linear,1000,256,0.0005,0.01,0.0,0.0001,0.5,0.3,0.9398072361946106
GRACE,CS,linear,1000,256,0.0005,0.01,1e-05,0.0001,0.5,0.3,0.9352609713872274
GRACE,CS,linear,1000,256,0.001,0.01,0.0,0.0001,0.5,0.4,0.9390798409779867
GRACE,CS,linear,1000,256,0.001,0.01,1e-05,0.0001,0.5,0.4,0.9392617146174113
