model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.0,0.864727238814036
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.0,0.8535757263501486
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.0,0.7743030190467834
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.0,0.7650909026463827
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.1,0.8613333106040955
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.1,0.8482424020767212
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.1,0.8700605829556783
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.1,0.8625454505284628
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.2,0.8421818017959595
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.2,0.8516363302866617
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.2,0.8656969467798868
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.2,0.871515134970347
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.3,0.8407272497812907
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.3,0.8373333017031351
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.3,0.8543030222256979
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.3,0.883393923441569
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.4,0.8286060293515524
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.4,0.8373333017031351
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.4,0.8446060220400492
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.4,0.8535757263501486
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.5,0.8244848450024923
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.5,0.7992726961771647
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.5,0.8557575543721517
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.5,0.8559999863306681
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.0,0.8787878553072611
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.0,0.8768484592437744
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.0,0.8812121152877808
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.0,0.8775757551193237
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.1,0.8673939108848572
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.1,0.8698181708653768
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.1,0.8780605792999268
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.1,0.8673939108848572
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.2,0.8596363464991251
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.2,0.8567272623380026
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.2,0.8627878427505493
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.2,0.8649696707725525
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.3,0.8477575580279032
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.3,0.8363636334737142
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.3,0.8545454144477844
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.3,0.8695757389068604
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.4,0.8368484576543173
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.4,0.8361211816469828
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.4,0.8579393823941549
GRACE,Computers,linear,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.4,0.8637575507164001
GRACE,Computers,linear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.5,0.8162423968315125
GRACE,Computers,linear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.5,0.8281211853027344
GRACE,Computers,linear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.5,0.8479999701182047
