model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.1,0.8033333818117777
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.1,0.8006667097409567
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.2,0.8293333848317465
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.2,0.8360000451405843
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.3,0.8253333767255148
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.3,0.8260000546773275
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.4,0.8293333848317465
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.4,0.8313333789507548
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.5,0.8393333951632181
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.5,0.8406667113304138
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.1,0.8213333686192831
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.1,0.8226667046546936
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.2,0.827333390712738
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.2,0.827333390712738
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.3,0.830666720867157
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.3,0.8313333789507548
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.4,0.843333383401235
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.4,0.8380000392595927
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.5,0.8446666995684305
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.5,0.8453333775202433
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.1,0.8213333686192831
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.1,0.815333366394043
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.2,0.8380000591278076
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.2,0.8366667230923971
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.3,0.8353333671887716
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.3,0.8380000392595927
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.4,0.8386666973431905
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.4,0.8353333671887716
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.5,0.8380000392595927
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.5,0.8406667113304138
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.1,0.8266667127609253
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.1,0.8260000348091125
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.2,0.8200000325838724
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.2,0.8373333613077799
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.3,0.8360000252723694
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.3,0.8340000510215759
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.4,0.8326666951179504
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.4,0.8293333848317465
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.5,0.8393333752950033
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.5,0.8406667113304138
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.1,0.8313333789507548
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.1,0.812000056107839
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.2,0.8326666951179504
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.2,0.8220000267028809
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.3,0.8300000429153442
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.3,0.8353333671887716
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.4,0.8320000370343527
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.4,0.8373333613077799
GRACE,PubMed,linear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.5,0.849333385626475
GRACE,PubMed,linear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.5,0.8480000297228495
