model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0,0.0001,0.0,0.0,0.8316057721773783
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.0,0.8028732736905416
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.0,0.843789796034495
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.0,0.827241321404775
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0,0.0001,0.0,0.1,0.9379887580871582
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.1,0.9338061610857645
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.1,0.9374431769053141
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.1,0.9374431769053141
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0,0.0001,0.0,0.2,0.9412620464960734
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.2,0.9341698884963989
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.2,0.94017094373703
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.2,0.9379887580871582
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0,0.0001,0.0,0.3,0.9399890899658203
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.3,0.941443920135498
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.3,0.932896892229716
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.3,0.937443196773529
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0,0.0001,0.0,0.4,0.9394435485204061
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.4,0.9379887382189432
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.4,0.9376250306765238
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.4,0.932169497013092
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,0.0,0.0001,0.0,0.5,0.9447172482808431
GRACE,CS,nonlinear-hid,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.5,0.9390798409779867
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.5,0.9407165050506592
