model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.0,0.0,0.864727238814036
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.0,0.8518787622451782
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.0,0.0,0.8416969378789266
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.0,0.8261817892392477
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.0,0.1,0.8666666547457377
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.1,0.8635151386260986
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.0,0.1,0.8693333069483439
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.1,0.8804848194122314
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.0,0.2,0.8545454343159994
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.2,0.8543030222256979
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.0,0.2,0.8686060508092245
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.2,0.8690908749898275
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.0,0.3,0.8329696853955587
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.3,0.8484848340352377
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.0,0.3,0.8705454468727112
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.3,0.8603636225064596
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.0,0.4,0.8402423858642578
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.4,0.8353939056396484
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.0,0.4,0.8664242227872213
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.4,0.8613333106040955
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.0,0.5,0.7304242253303528
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.5,0.8014545440673828
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.0,0.5,0.8576969703038534
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.5,0.8482424219449362
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.1,0.0,0.8802424073219299
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.0,0.8734545310338339
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.1,0.0,0.8736969629923502
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.0,0.8727272550264994
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,0.0,0.0001,0.1,0.1,0.8673939108848572
GRACE,Computers,nonlinear-hid,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.1,0.8695757389068604
GRACE,Computers,nonlinear-hid,1500,128,0.001,0.01,0.0,0.0001,0.1,0.1,0.8853333195050558
