model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0,0.0001,0.0,0.0,0.915032684803009
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,1e-05,0.0001,0.0,0.0,0.915032684803009
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0,0.0001,0.0,0.0,0.9180827935536703
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,1e-05,0.0001,0.0,0.0,0.9063180883725485
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0,0.0001,0.0,0.1,0.9154684146245321
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,1e-05,0.0001,0.0,0.1,0.9128540356953939
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0,0.0001,0.0,0.1,0.9324618776639303
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,1e-05,0.0001,0.0,0.1,0.9298474987347921
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0,0.0001,0.0,0.2,0.9224400917689005
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,1e-05,0.0001,0.0,0.2,0.9176470637321472
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0,0.0001,0.0,0.2,0.9206971724828085
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,1e-05,0.0001,0.0,0.2,0.9281045794487
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0,0.0001,0.0,0.3,0.9228758215904236
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,1e-05,0.0001,0.0,0.3,0.914161225159963
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0,0.0001,0.0,0.3,0.9372549057006836
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,1e-05,0.0001,0.0,0.3,0.9324618776639303
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0,0.0001,0.0,0.4,0.915032684803009
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,1e-05,0.0001,0.0,0.4,0.9211329023043314
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0,0.0001,0.0,0.4,0.9206971724828085
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,1e-05,0.0001,0.0,0.4,0.928540309270223
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0,0.0001,0.0,0.5,0.9193899830182394
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,1e-05,0.0001,0.0,0.5,0.9241830110549927
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,0.0,0.0001,0.0,0.5,0.929411768913269
GRACE,Photo,nonlinear-hid,2000,256,0.001,0.01,1e-05,0.0001,0.0,0.5,0.9372549057006836
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0,0.0001,0.1,0.0,0.9237472812334696
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,1e-05,0.0001,0.1,0.0,0.9237472812334696
