model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.1,0.1,0.830666720867157
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.1,0.8200000325838724
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.1,0.2,0.8260000348091125
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.2,0.8240000605583191
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.1,0.3,0.8420000473658243
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.3,0.8346667091051737
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.1,0.4,0.8400000333786011
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.4,0.8333333532015482
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.1,0.5,0.8253333767255148
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.5,0.8053333759307861
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.2,0.1,0.8180000384648641
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.1,0.8213333686192831
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.2,0.2,0.830666700998942
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.2,0.8340000510215759
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.2,0.3,0.8440000216166178
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.3,0.8506667017936707
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.2,0.4,0.8366667230923971
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.4,0.8460000157356262
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.2,0.5,0.8273333708445231
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.5,0.8280000487963358
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,0.0,0.0001,0.3,0.1,0.8333333730697632
GRACE,PubMed,nonlinear-hid,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.1,0.8266667127609253
