model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.0,0.8196035822232565
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.0,0.8025095462799072
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.0,0.8379705746968588
GRACE,CS,nonlinear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.0,0.8196035822232565
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.1,0.9327150384585062
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.1,0.9314421017964681
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.1,0.9354428251584371
GRACE,CS,nonlinear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.1,0.9298054178555807
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.2,0.9410802125930786
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.2,0.9318058093388876
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.2,0.9356246789296468
GRACE,CS,nonlinear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.2,0.9412620663642883
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.3,0.940170963605245
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.3,0.9392616947491964
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.3,0.9392616947491964
GRACE,CS,nonlinear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.3,0.9303509791692098
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.4,0.9394435485204061
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.4,0.9405346711476644
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.4,0.936170220375061
GRACE,CS,nonlinear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.4,0.940170963605245
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.0,0.5,0.9408983588218689
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.5,0.9345335761706034
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.5,0.9370794892311096
GRACE,CS,nonlinear,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.5,0.9407165249188741
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.0,0.8261502186457316
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.0,0.8010547359784445
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.0,0.8319694598515829
GRACE,CS,nonlinear,1000,256,0.0005,0.01,1e-05,0.0001,0.1,0.0,0.8426986932754517
GRACE,CS,nonlinear,1000,256,0.001,0.01,0.0,0.0001,0.1,0.1,0.9328969120979309
GRACE,CS,nonlinear,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.1,0.930169145266215
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0,0.0001,0.1,0.1,0.9327150583267212
