model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.0,0.8443636099497477
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.0,0.8499393860499064
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.0,0.7483636339505514
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.0,0.7709090709686279
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.1,0.8814545273780823
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.1,0.8756363391876221
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.1,0.8710302710533142
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.1,0.8722424109776815
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.2,0.8593939145406088
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.2,0.864242414633433
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.2,0.8671515186627706
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.2,0.8746666312217712
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.3,0.841939369837443
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.3,0.8259393771489462
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.3,0.8671514987945557
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.3,0.8749090830485026
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.4,0.8290908932685852
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.4,0.8036363323529562
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.4,0.8516363302866617
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.4,0.8608484665552775
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.0,0.5,0.7670302788416544
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.5,0.7864242196083069
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.0,0.5,0.861090878645579
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.5,0.8603636225064596
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.0,0.8790302872657776
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.0,0.8739393750826517
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.0,0.8681211670239767
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.0,0.8639999826749166
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.1,0.8749090631802877
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.1,0.8739393552144369
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.1,0.1,0.8710302710533142
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.1,0.8664242227872213
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.1,0.2,0.8753939270973206
