model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.1,0.8180000384648641
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.1,0.8106667200724283
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.2,0.827333390712738
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.2,0.8300000429153442
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.3,0.8353333671887716
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.3,0.8253333767255148
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.4,0.8373333811759949
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.4,0.8286666870117188
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.1,0.5,0.8413333694140116
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.5,0.8426667253176371
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.1,0.8080000480016073
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.1,0.8040000200271606
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.2,0.8326666951179504
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.2,0.8226667046546936
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.3,0.8386667172114054
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.3,0.8373333613077799
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.4,0.830666720867157
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.4,0.8320000370343527
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.2,0.5,0.8513333797454834
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.5,0.8386667172114054
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.1,0.8140000303586324
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.1,0.815333366394043
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.2,0.834000031153361
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.2,0.8286667068799337
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.3,0.8313333590825399
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.3,0.8366667230923971
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.4,0.8380000392595927
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.4,0.8333333730697632
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.3,0.5,0.8386666973431905
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.5,0.8426667054494222
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.1,0.8340000510215759
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.1,0.8186666965484619
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.2,0.8286667068799337
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.2,0.8226667046546936
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.3,0.8366667032241821
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.3,0.8360000451405843
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.4,0.8313333590825399
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.4,0.830666720867157
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.4,0.5,0.8426667054494222
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.5,0.8426667054494222
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.1,0.8280000487963358
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.1,0.8286666870117188
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.2,0.8300000429153442
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.2,0.8373333811759949
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.3,0.8293333649635315
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.3,0.8300000429153442
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.4,0.8420000473658243
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.4,0.8366667230923971
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,0.0,0.0001,0.5,0.5,0.8333333929379781
GRACE,PubMed,nonlinear,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.5,0.843333383401235
