model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CS,standard,1000,256,0.001,0.01,0.0,0.0001,0.0,0.0,0.7344971895217896
GRACE,CS,standard,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.0,0.7968721787134806
GRACE,CS,standard,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.0,0.6221131086349487
GRACE,CS,standard,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.0,0.8341516653696696
GRACE,CS,standard,1000,256,0.001,0.01,0.0,0.0001,0.0,0.1,0.9243499040603638
GRACE,CS,standard,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.1,0.9339879949887594
GRACE,CS,standard,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.1,0.9263502756754557
GRACE,CS,standard,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.1,0.9330787658691406
GRACE,CS,standard,1000,256,0.001,0.01,0.0,0.0001,0.0,0.2,0.9299872914950053
GRACE,CS,standard,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.2,0.9352609713872274
GRACE,CS,standard,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.2,0.930896540482839
GRACE,CS,standard,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.2,0.936170240243276
GRACE,CS,standard,1000,256,0.001,0.01,0.0,0.0001,0.0,0.3,0.9408983588218689
GRACE,CS,standard,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.3,0.9383524457613627
GRACE,CS,standard,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.3,0.9318057894706726
GRACE,CS,standard,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.3,0.9345335761706034
GRACE,CS,standard,1000,256,0.001,0.01,0.0,0.0001,0.0,0.4,0.9330787658691406
GRACE,CS,standard,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.4,0.9458083510398865
GRACE,CS,standard,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.4,0.9405346711476644
GRACE,CS,standard,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.4,0.9327150583267212
GRACE,CS,standard,1000,256,0.001,0.01,0.0,0.0001,0.0,0.5,0.9390798409779867
GRACE,CS,standard,1000,256,0.001,0.01,1e-05,0.0001,0.0,0.5,0.9410802125930786
GRACE,CS,standard,1000,256,0.0005,0.01,0.0,0.0001,0.0,0.5,0.9354428251584371
GRACE,CS,standard,1000,256,0.0005,0.01,1e-05,0.0001,0.0,0.5,0.9396254022916158
GRACE,CS,standard,1000,256,0.001,0.01,0.0,0.0001,0.1,0.0,0.7283142407735189
GRACE,CS,standard,1000,256,0.001,0.01,1e-05,0.0001,0.1,0.0,0.8268776138623556
