model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.0,0.0,0.8722423911094666
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.0,0.8465454379717509
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.0,0.0,0.687030295530955
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.0,0.6642424066861471
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.0,0.1,0.883878767490387
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.1,0.8804848392804464
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.0,0.1,0.8787878553072611
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.1,0.8775757352511088
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.0,0.2,0.883393923441569
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.2,0.8686060508092245
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.0,0.2,0.8853332996368408
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.2,0.8863030076026917
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.0,0.3,0.8741818070411682
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.3,0.8841211795806885
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.0,0.3,0.8797575434048971
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.3,0.883878767490387
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.0,0.4,0.868363638718923
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.4,0.8766060272852579
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.0,0.4,0.8693333268165588
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.4,0.8703029950459799
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.0,0.5,0.8829090595245361
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.0,0.5,0.865212102731069
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.0,0.5,0.872484823067983
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.0,0.5,0.8773333231608073
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.1,0.0,0.8809696634610494
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.0,0.8693333268165588
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.1,0.0,0.8749090830485026
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.0,0.8826666474342346
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.1,0.1,0.8744242191314697
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.1,0.887515127658844
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.1,0.1,0.880242387453715
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.1,0.8858181635538737
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.1,0.2,0.8841211994489034
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.2,0.8858181635538737
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.1,0.2,0.8816969394683838
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.2,0.8787878553072611
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.1,0.3,0.8841211795806885
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.3,0.8833939035733541
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.1,0.3,0.8853332996368408
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.3,0.8739393750826517
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.1,0.4,0.8664242227872213
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.4,0.8727272550264994
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.1,0.4,0.8673939307530721
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.4,0.8688484827677408
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.1,0.5,0.871999979019165
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.1,0.5,0.8821818033854166
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.1,0.5,0.8673939108848572
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.1,0.5,0.8681211868921915
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.0,0.8809696634610494
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.0,0.8753939072291056
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.0,0.8991514841715494
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.0,0.8899393677711487
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.1,0.890666643778483
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.1,0.8884848356246948
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.1,0.8901817798614502
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.1,0.887515127658844
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.2,0.8790302872657776
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.2,0.8853332996368408
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.2,0.8732120990753174
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.2,0.8833939035733541
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.3,0.8846060434977213
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.3,0.883878767490387
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.3,0.8717575470606486
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.3,0.8807272513707479
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.4,0.8884848157564799
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.4,0.8867878715197245
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.4,0.8734545310338339
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.4,0.8841211994489034
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.5,0.8809696634610494
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.5,0.8778181473414103
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.5,0.864727258682251
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.5,0.8649696707725525
