model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.1,0.1,0.736666719118754
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.1,0.7233333587646484
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.1,0.2,0.765333374341329
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.2,0.7566667000452677
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.1,0.3,0.7820000251134237
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.3,0.7813333670298258
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.1,0.4,0.8066666920979818
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.4,0.8020000457763672
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.1,0.5,0.8313333590825399
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.1,0.5,0.8200000325838724
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.2,0.1,0.7480000456174215
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.1,0.7200000286102295
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.2,0.2,0.7713333566983541
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.2,0.7820000251134237
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.2,0.3,0.7980000376701355
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.3,0.7926667133967081
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.2,0.4,0.8213333884874979
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.4,0.8193333745002747
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.2,0.5,0.8266666928927103
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.2,0.5,0.8240000406901041
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.3,0.1,0.7593333721160889
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.1,0.7480000257492065
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.3,0.2,0.7940000295639038
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.2,0.7826667030652364
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.3,0.3,0.8093333641688029
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.3,0.8080000480016073
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.3,0.4,0.8326666951179504
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.4,0.8213333487510681
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.3,0.5,0.8360000451405843
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.3,0.5,0.8320000569025675
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.4,0.1,0.7700000405311584
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.1,0.7513333757718405
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.4,0.2,0.7986667156219482
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.2,0.793333371480306
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.4,0.3,0.8286667267481486
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.3,0.8126667141914368
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.4,0.4,0.8346667091051737
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.4,0.8460000356038412
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.4,0.5,0.8333333730697632
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.4,0.5,0.8366667032241821
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.5,0.1,0.7766667008399963
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.1,0.780666708946228
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.5,0.2,0.7986667156219482
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.2,0.8106667002042135
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.5,0.3,0.8273333708445231
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.3,0.8166667024294535
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.5,0.4,0.8420000473658243
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.4,0.8440000414848328
GRACE,PubMed,standard,1500,256,0.001,0.01,0.0,0.0001,0.5,0.5,0.8400000333786011
GRACE,PubMed,standard,1500,256,0.001,0.01,1e-05,0.0001,0.5,0.5,0.8353333870569865
