model,dataset,proj,epochs,layers,lr1,lr2,wd2,channels,proj_dim,tau,edr,fmr,accuracy
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8826577067375183
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8876568078994751
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8806580901145935
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8774768114089966
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8743864893913269
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8771132230758667
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8730230927467346
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8672059774398804
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.873477578163147
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8833848237991333
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8861116170883179
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8766587972640991
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8788402080535889
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8717505931854248
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.882021427154541
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8792037963867188
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8742955923080444
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8712961077690125
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.88783860206604
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.5,0.0,0.8771132230758667
