model,dataset,proj,epochs,layers,lr1,lr2,wd2,channels,proj_dim,tau,edr,fmr,accuracy
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9339288473129272
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9357698559761047
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9322242140769958
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9348834156990051
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9364516735076904
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9329060912132263
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9354971051216125
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9363834857940674
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9385654330253601
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9306559562683105
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9321560263633728
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.939520001411438
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.93733811378479
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9339970350265503
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9345425367355347
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9333151578903198
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9385654330253601
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9329742789268494
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9370653629302979
GRACE,CS,nonlinear-hid,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.2,0.2,0.9344061613082886
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9361107349395752
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9328379034996033
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9358380436897278
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9329742789268494
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9297013878822327
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9344743490219116
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9350879788398743
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.931269645690918
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9356334805488586
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.933587908744812
GRACE,CS,nonlinear,1000,2,0.0005,0.01,0.0001,256,256,0.5,0.1,0.3,0.9382244944572449
