model,dataset,mlp_use,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9369289875030518
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9336560964584351
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9336560964584351
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9344061613082886
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9330424666404724
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9332469701766968
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9354289174079895
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9369289875030518
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9342015981674194
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9362471103668213
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9361107349395752
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.937269926071167
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9303150177001953
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9344061613082886
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9352243542671204
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9318832755088806
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9359062314033508
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9322924017906189
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9360425472259521
GRACE,CS,True,linear,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.9396563768386841
