model,dataset,mlp_use,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9367926120758057
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9370653629302979
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9397245645523071
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9376789927482605
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9316105842590332
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.938360869884491
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9360425472259521
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9333151578903198
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9367244243621826
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9382244944572449
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9380881190299988
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.940679132938385
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9377471804618835
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9377471804618835
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9343379735946655
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9344743490219116
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9350197911262512
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9282013177871704
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9365198612213135
GRACE,CS,True,nonlinear-hid,1000,2,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.5,0.9352925419807434
