model,dataset,mlp_use,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9392472505569458
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9368607997894287
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9371335506439209
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9354289174079895
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9327015280723572
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9357698559761047
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.938360869884491
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9374063014984131
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9340652227401733
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9318150877952576
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9360425472259521
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9344743490219116
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9386336207389832
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9365880489349365
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9366562366485596
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9321560263633728
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9294286370277405
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9359744191169739
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9380881190299988
GRACE,CS,True,nonlinear,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.4,0.9388381838798523
