model,dataset,mlp_use,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9377471804618835
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.93733811378479
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9333151578903198
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9353607296943665
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9299741387367249
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9338606595993042
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9375426173210144
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9322242140769958
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9343379735946655
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9357698559761047
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9333833456039429
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9312014579772949
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9345425367355347
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9336560964584351
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9341334104537964
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9338606595993042
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9337242841720581
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9362471103668213
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9357016682624817
GRACE,CS,True,standard,1000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.0,0.4,0.9369289875030518
