model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.6940000057220459
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7110000252723694
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7330000400543213
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7190000414848328
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7070000171661377
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7150000333786011
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7210000157356262
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7210000157356262
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7160000205039978
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7090000510215759
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7040000557899475
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7320000529289246
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7150000333786011
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7100000381469727
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7120000123977661
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7210000157356262
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7090000510215759
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7110000252723694
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7300000190734863
GRACE,CiteSeer,linear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.5,0.7250000238418579
