model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.718000054359436
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7020000219345093
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7150000333786011
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7120000123977661
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7230000495910645
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7110000252723694
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7100000381469727
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7140000462532043
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7130000591278076
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7130000591278076
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7190000414848328
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7300000190734863
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7070000171661377
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7190000414848328
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7170000076293945
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7170000076293945
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7190000414848328
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7130000591278076
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7310000061988831
GRACE,CiteSeer,nonlinear-hid,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.4,0.5,0.7140000462532043
