model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7130000591278076
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7260000109672546
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7160000205039978
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7160000205039978
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7240000367164612
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.718000054359436
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7140000462532043
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7050000429153442
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7140000462532043
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7040000557899475
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7200000286102295
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7160000205039978
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7090000510215759
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7140000462532043
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7170000076293945
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7080000042915344
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7160000205039978
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.706000030040741
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7090000510215759
GRACE,CiteSeer,nonlinear,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.5,0.5,0.7220000624656677
