model,dataset,proj,epochs,layers,lr1,lr2,wd2,channels,proj_dim,tau,edr,fmr,accuracy
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8799309134483337
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8681148886680603
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8729321956634521
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8826577067375183
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.877749502658844
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8826577067375183
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8792037963867188
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.878294825553894
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8665696978569031
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8721141815185547
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.877749502658844
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8832030296325684
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8693873882293701
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8888384103775024
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8809307217597961
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8761134147644043
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8685693740844727
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8688420057296753
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8616614937782288
GRACE,Computers,nonlinear-hid,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.882203221321106
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8804762959480286
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8712961077690125
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8830212950706482
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8763861060142517
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.866933286190033
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8758407831192017
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8802945017814636
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8694782853126526
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8783857226371765
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.873295783996582
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8725686073303223
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8791128993034363
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8810216188430786
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8836575150489807
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8832939267158508
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8845664262771606
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.878294825553894
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8810216188430786
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8752045035362244
GRACE,Computers,nonlinear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8812034130096436
GRACE,Computers,linear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8617523908615112
GRACE,Computers,linear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8723868131637573
GRACE,Computers,linear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8754771947860718
GRACE,Computers,linear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.877749502658844
GRACE,Computers,linear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8869296312332153
GRACE,Computers,linear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8798400163650513
GRACE,Computers,linear,1500,2,0.01,0.01,0.0001,128,128,0.5,0.4,0.1,0.8729321956634521
