model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8915651440620422
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8941101431846619
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8884748220443726
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8842937350273132
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8913834095001221
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.885566234588623
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8921105265617371
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8902018070220947
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8765679001808167
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8880203366279602
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8898382186889648
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8845664262771606
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8843846321105957
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8920196294784546
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8810216188430786
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8925650119781494
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8849300146102905
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8921105265617371
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8889293074607849
GRACE,Computers,linear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8811125159263611
