model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8896564245223999
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8818396925926208
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8851118087768555
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8884748220443726
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8891110420227051
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8797491192817688
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8852936029434204
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8880203366279602
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8937466144561768
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8872023224830627
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8896564245223999
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8907471299171448
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8822941184043884
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8895655274391174
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8886566162109375
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8861116170883179
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8914742469787598
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8912925124168396
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.88874751329422
GRACE,Computers,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.893019437789917
