model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8843846321105957
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.889474630355835
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8891110420227051
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.892837643623352
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8954735398292542
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8833848237991333
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8919287323951721
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8896564245223999
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8842028975486755
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8908380270004272
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8896564245223999
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8846573233604431
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8874750137329102
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8895655274391174
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8929285407066345
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8819305300712585
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8880203366279602
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8901109099388123
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8848391175270081
GRACE,Computers,nonlinear,1500,2,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8856571316719055
