model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8859298229217529
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8907471299171448
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8780221939086914
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8859298229217529
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.885020911693573
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8819305300712585
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8879294395446777
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8858389258384705
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8929285407066345
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8882930278778076
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.878294825553894
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8905653357505798
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8921105265617371
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8871114253997803
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8842028975486755
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8810216188430786
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8849300146102905
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8864752054214478
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8836575150489807
GRACE,Computers,standard,1500,2,0.001,0.01,0.0,0.0001,128,0.5,0.5,0.0,0.8917469382286072
