model,dataset,proj,epochs,layers,lr1,lr2,wd2,channels,proj_dim,tau,edr,fmr,accuracy
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8110000491142273
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8270000219345093
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8260000348091125
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.843000054359436
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.831000030040741
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8110000491142273
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8390000462532043
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8320000171661377
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8370000123977661
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8260000348091125
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8270000219345093
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8300000429153442
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8400000333786011
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8110000491142273
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8210000395774841
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8220000267028809
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8220000267028809
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8190000653266907
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8300000429153442
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8240000605583191
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8270000219345093
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8270000219345093
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8520000576972961
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8290000557899475
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8520000576972961
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8230000138282776
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8350000381469727
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8220000267028809
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8280000686645508
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8360000252723694
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8330000638961792
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8500000238418579
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8230000138282776
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8400000333786011
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8320000171661377
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8460000157356262
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8380000591278076
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8400000333786011
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8220000267028809
GRACE,Cora,nonlinear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8380000591278076
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8410000205039978
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8300000429153442
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8510000109672546
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8390000462532043
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8280000686645508
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8380000591278076
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8180000185966492
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.831000030040741
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8410000205039978
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8410000205039978
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8370000123977661
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8270000219345093
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8400000333786011
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8400000333786011
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8330000638961792
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8390000462532043
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8370000123977661
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8390000462532043
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8280000686645508
GRACE,Cora,linear,400,2,0.0005,0.01,0.0001,256,256,0.5,0.5,0.3,0.8400000333786011
