model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8370000123977661
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8390000462532043
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8280000686645508
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8400000333786011
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8410000205039978
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8380000591278076
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8270000219345093
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8350000381469727
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8180000185966492
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8440000414848328
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8370000123977661
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8260000348091125
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8320000171661377
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8330000638961792
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.831000030040741
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8220000267028809
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8300000429153442
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8390000462532043
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8360000252723694
GRACE,Cora,linear,400,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.4,0.8370000123977661
