model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8420000672340393
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.831000030040741
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8230000138282776
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8200000524520874
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8420000672340393
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8260000348091125
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8230000138282776
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8410000205039978
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8170000314712524
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8270000219345093
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8290000557899475
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8420000672340393
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8330000638961792
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8220000267028809
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8300000429153442
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8230000138282776
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8260000348091125
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8420000672340393
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8360000252723694
GRACE,Cora,nonlinear-hid,400,2,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8420000672340393
