model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8360000252723694
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8320000171661377
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8450000286102295
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8300000429153442
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8330000638961792
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8370000123977661
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8360000252723694
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8260000348091125
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8320000171661377
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8460000157356262
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8320000171661377
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8240000605583191
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.843000054359436
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8330000638961792
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8400000333786011
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.831000030040741
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8360000252723694
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8390000462532043
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8370000123977661
GRACE,Cora,nonlinear,200,2,0.0005,0.01,1e-05,0.0001,512,0.5,0.3,0.2,0.8340000510215759
