model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8330000638961792
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8400000333786011
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8400000333786011
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8360000252723694
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8470000624656677
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8390000462532043
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8390000462532043
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8380000591278076
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8330000638961792
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8280000686645508
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8580000400543213
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8390000462532043
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8350000381469727
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8360000252723694
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8480000495910645
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8380000591278076
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8450000286102295
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8400000333786011
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.8340000510215759
GRACE,Cora,standard,200,2,0.0005,0.01,0.0,0.0001,256,0.5,0.5,0.2,0.831000030040741
