model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7300000190734863
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7220000624656677
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7220000624656677
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.734000027179718
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7230000495910645
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7270000576972961
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.718000054359436
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7360000610351562
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7210000157356262
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7240000367164612
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7200000286102295
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7320000529289246
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7220000624656677
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.734000027179718
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7280000448226929
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7230000495910645
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7100000381469727
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7220000624656677
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7160000205039978
GRACE,CiteSeer,standard,100,1,0.0005,0.01,1e-05,0.0001,512,0.5,0.1,0.4,0.7260000109672546
