model,dataset,proj,epochs,layers,lr1,lr2,wd2,channels,proj_dim,tau,edr,fmr,accuracy
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.91813725233078
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.923856258392334
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9194444417953491
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9129084944725037
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.920751690864563
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9225490689277649
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9192810654640198
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9143791198730469
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9166666865348816
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9217320680618286
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9258170127868652
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9212418794631958
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9290850162506104
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9235294461250305
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9210784435272217
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9277778267860413
GRACE,Photo,nonlinear-hid,2000,2,0.01,0.01,0.0001,256,256,0.5,0.4,0.3,0.9166666865348816
