model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.930065393447876
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9338235855102539
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9259804487228394
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9267973899841309
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9290850162506104
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9287582039833069
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.930065393447876
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9272876381874084
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9256536364555359
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9240196347236633
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9312092065811157
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9299020171165466
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9308823943138123
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.930065393447876
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9323529601097107
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9230392575263977
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9292483925819397
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9281045794487
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9228758215904236
GRACE,Photo,linear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.1,0.9210784435272217
