model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9240196347236633
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9202614426612854
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9330065846443176
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9307189583778381
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9253268241882324
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9199346899986267
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9235294461250305
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9215686321258545
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9282680153846741
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9246732592582703
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.933169960975647
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9233660697937012
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.930065393447876
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.926307201385498
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9282680153846741
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9289215803146362
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.921895444393158
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9284313917160034
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9254902005195618
GRACE,Photo,nonlinear-hid,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.3,0.9240196347236633
